,Predicted,Real
Alex Abrines,SG,SG
Quincy Acy,SF,PF
Quincy Acy,SF,PF
Steven Adams,PF,C
Arron Afflalo,SF,SG
Alexis Ajinca,C,C
Cole Aldrich,C,C
LaMarcus Aldridge,PF,PF
Lavoy Allen,C,PF
Tony Allen,SG,SG
Al-Farouq Aminu,PG,SF
Chris Andersen,PF,C
Alan Anderson,SF,SF
Justin Anderson,SG,SF
Justin Anderson,PF,SF
Justin Anderson,SG,SF
Kyle Anderson,SF,SG
Ryan Anderson,SF,PF
Giannis Antetokounmpo,PF,SF
Carmelo Anthony,PF,SF
Joel Anthony,C,C
Trevor Ariza,SF,SF
Darrell Arthur,C,PF
Omer Asik,C,C
D.J. Augustin,PG,PG
Luke Babbitt,SF,SF
Ron Baker,PG,SG
Wade Baldwin,SG,PG
Leandro Barbosa,PG,SG
J.J. Barea,SG,PG
Harrison Barnes,SF,PF
Matt Barnes,PF,SF
Matt Barnes,PF,SF
Matt Barnes,PF,SF
Will Barton,SG,SG
Brandon Bass,PF,PF
Nicolas Batum,SF,SG
Jerryd Bayless,PG,PG
Aron Baynes,C,C
Kent Bazemore,SG,SF
Bradley Beal,SG,SG
Malik Beasley,SG,SG
Michael Beasley,SF,PF
Marco Belinelli,SG,SG
DeAndre' Bembry,SG,SF
Dragan Bender,PF,PF
Anthony Bennett,PF,PF
Davis Bertans,SF,PF
Patrick Beverley,SF,SG
Bismack Biyombo,C,C
Nemanja Bjelica,PF,PF
Tarik Black,PF,C
Eric Bledsoe,PG,PG
Bojan Bogdanovic,SF,SF
Bojan Bogdanovic,SG,SF
Bojan Bogdanovic,SG,SF
Andrew Bogut,C,C
Andrew Bogut,C,C
Devin Booker,SG,SG
Trevor Booker,PF,PF
Avery Bradley,PF,SG
Corey Brewer,SF,SF
Corey Brewer,SG,SF
Corey Brewer,SF,SF
Malcolm Brogdon,SG,SG
Aaron Brooks,SG,PG
Anthony Brown,PF,SF
Anthony Brown,PF,SF
Bobby Brown,SG,PG
Jaylen Brown,SG,SF
Nicolas Brussino,SF,SF
Reggie Bullock,SG,SF
Trey Burke,SG,PG
Alec Burks,SG,SG
Jimmy Butler,SG,SF
Jose Calderon,PG,PG
Jose Calderon,SG,PG
Jose Calderon,PG,PG
Kentavious Caldwell-Pope,SG,SG
Isaiah Canaan,SG,SG
Clint Capela,PF,C
DeMarre Carroll,SF,SF
Vince Carter,SF,SF
Michael Carter-Williams,PG,PG
Omri Casspi,SF,SF
Omri Casspi,SF,SF
Omri Casspi,SG,SF
Willie Cauley-Stein,C,C
Tyson Chandler,PF,C
Wilson Chandler,PF,SF
Marquese Chriss,C,PF
Rakeem Christmas,PF,PF
Semaj Christon,SG,PG
Ian Clark,SG,SG
Jordan Clarkson,SG,SG
Norris Cole,PG,PG
Darren Collison,PG,PG
Nick Collison,PF,PF
Mike Conley,PG,PG
Pat Connaughton,SF,SG
Quinn Cook,PG,PG
Quinn Cook,SG,PG
Quinn Cook,SF,PG
DeMarcus Cousins,PF,C
DeMarcus Cousins,C,C
DeMarcus Cousins,PF,C
Robert Covington,SF,SF
Allen Crabbe,SG,SG
Jamal Crawford,SG,SG
Jordan Crawford,SG,SG
Jae Crowder,SF,SF
Dante Cunningham,SG,SF
Seth Curry,SG,PG
Stephen Curry,PG,PG
Troy Daniels,SG,SG
Anthony Davis,C,C
Deyonta Davis,C,C
Ed Davis,PF,PF
Dewayne Dedmon,C,C
Sam Dekker,PF,SF
Malcolm Delaney,PG,PG
Matthew Dellavedova,SG,PG
Luol Deng,SF,SF
DeMar DeRozan,SG,SG
Cheick Diallo,C,PF
Boris Diaw,PG,PF
Gorgui Dieng,C,PF
Spencer Dinwiddie,SG,PG
Toney Douglas,PG,PG
Goran Dragic,PG,PG
Andre Drummond,C,C
Jared Dudley,SG,PF
Mike Dunleavy,SF,SF
Mike Dunleavy,SF,SF
Mike Dunleavy,SF,SF
Kris Dunn,SG,PG
Kevin Durant,PF,SF
Henry Ellenson,PF,PF
Wayne Ellington,SG,SG
Monta Ellis,PG,SG
Joel Embiid,C,C
James Ennis,SF,SF
Tyler Ennis,PG,PG
Tyler Ennis,PG,PG
Tyler Ennis,PG,PG
Tyreke Evans,SG,SF
Tyreke Evans,PG,SF
Tyreke Evans,SG,SF
Dante Exum,SG,PG
Kenneth Faried,PF,PF
Derrick Favors,C,PF
Kay Felder,PG,PG
Cristiano Felicio,C,C
Raymond Felton,PG,PG
Yogi Ferrell,PG,PG
Yogi Ferrell,PG,PG
Yogi Ferrell,PG,PG
Dorian Finney-Smith,PF,PF
Bryn Forbes,PG,SG
Evan Fournier,SF,SG
Randy Foye,SG,SG
Tim Frazier,PG,PG
Channing Frye,C,C
Danilo Gallinari,SF,SF
Langston Galloway,SG,PG
Langston Galloway,SG,PG
Langston Galloway,PG,PG
Marc Gasol,PF,C
Pau Gasol,C,C
Rudy Gay,SF,SF
Alonzo Gee,SF,SF
Paul George,SF,SF
Jonathan Gibson,PG,PG
Taj Gibson,PF,PF
Taj Gibson,PF,PF
Taj Gibson,PF,PF
Manu Ginobili,SG,SG
Rudy Gobert,C,C
Archie Goodwin,SG,SG
Archie Goodwin,SG,SG
Aaron Gordon,SF,SF
Eric Gordon,SG,SG
Marcin Gortat,C,C
Treveon Graham,SG,SG
Jerami Grant,SF,SF
Jerami Grant,C,SF
Jerian Grant,PG,PG
Danny Green,SF,SG
Draymond Green,PF,PF
Gerald Green,SG,SF
JaMychal Green,SF,PF
Jeff Green,SF,PF
