,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2016.0,Brandon Ingram,SF,18.0,LAL,36,34,1246,22.5,0.552,0.40299999999999997,0.35100000000000003,6.0,15.5,10.8,11.4,1.9,3.6,11.3,25.6,,3.4,1.5,4.9,0.18839999999999998,,4.6,2.9,7.5,0,214,484,0.442,80,195,0.41,134,289,0.46399999999999997,0.525,116,170,0.682,67,177,244,72,41,49,72,74,624
1,2016.0,Marshall Plumlee,C,23.0,NYK,36,36,1099,20.5,0.662,0.0,0.9940000000000001,12.2,18.8,15.5,5.9,1.4,4.8,14.7,12.1,,3.1,1.5,4.5,0.198,,4.6,5.2,9.8,0,106,154,0.688,0,0,0.0,106,154,0.688,0.688,88,153,0.575,119,189,308,38,27,58,39,100,300
2,2016.0,Jaylen Brown,SF,19.0,BOS,34,34,939,17.6,0.518,0.27,0.574,4.5,16.5,10.8,15.3,1.7,2.2,17.9,31.4,,1.0,1.8,2.7,0.14039999999999997,,0.3,3.3,3.6,0,163,378,0.431,30,102,0.294,133,276,0.48200000000000004,0.47100000000000003,142,217,0.654,36,146,182,68,27,22,105,108,498
3,2016.0,Ben Bentil,PF,20.0,DAL,35,33,1198,24.7,0.5670000000000001,0.29600000000000004,0.465,8.4,16.6,12.4,8.0,1.4,3.1,9.3,29.6,,3.8,2.0,5.8,0.23160000000000003,,4.9,1.8,6.7,0,246,533,0.462,52,158,0.32899999999999996,194,375,0.517,0.51,194,248,0.782,94,174,268,40,30,36,67,97,738
4,2016.0,Kris Dunn,PG,21.0,MIN,33,32,1088,23.2,0.541,0.275,0.462,3.5,14.7,9.0,41.8,4.3,1.9,18.8,28.0,,2.2,2.3,4.5,0.1992,,5.6,5.7,11.3,0,184,411,0.44799999999999995,42,113,0.37200000000000005,142,298,0.47700000000000004,0.499,132,190,0.695,36,140,176,206,82,20,116,93,542
5,2016.0,Buddy Hield,SG,22.0,TOT,37,37,1309,28.2,0.665,0.536,0.33299999999999996,4.0,13.0,8.8,12.7,1.8,1.4,14.0,30.2,,5.6,2.0,7.6,0.2784,,10.3,1.2,11.5,0,301,601,0.501,147,322,0.457,154,279,0.552,0.623,176,200,0.88,46,166,212,75,42,18,113,76,925
6,2016.0,Jamal Murray,SG,18.0,DEN,36,36,1267,22.7,0.59,0.515,0.28300000000000003,4.9,11.2,8.2,12.1,1.6,0.9,12.1,27.1,,4.4,1.8,6.1,0.23279999999999995,,8.1,1.1,9.1,0,244,538,0.45399999999999996,113,277,0.408,131,261,0.502,0.5589999999999999,119,152,0.7829999999999999,53,133,186,79,35,11,84,75,720
7,2016.0,Tyler Ulis,PG,20.0,PHO,35,35,1288,23.9,0.5670000000000001,0.36200000000000004,0.441,1.7,7.1,4.6,34.3,2.3,0.3,11.4,23.2,,5.4,1.7,7.1,0.2652,,8.5,1.0,9.6,0,192,442,0.434,55,160,0.344,137,282,0.486,0.49700000000000005,167,195,0.856,19,86,105,246,51,4,69,64,606
8,2016.0,Alex Poythress,PF,22.0,PHI,31,23,732,21.3,0.643,0.11599999999999999,0.515,8.8,19.2,14.3,2.5,1.5,2.8,13.1,19.2,,2.1,1.4,3.5,0.23160000000000003,,4.0,2.2,6.2,0,119,198,0.601,7,23,0.304,112,175,0.64,0.619,72,102,0.706,55,132,187,10,19,21,37,112,317
9,2016.0,Skal Labissiere,PF,19.0,SAC,36,18,567,18.5,0.54,0.011000000000000001,0.326,7.3,14.6,11.1,3.6,0.9,10.3,13.1,22.1,,0.9,1.1,2.0,0.1704,,-0.4,5.6,5.2,0,98,190,0.516,0,2,0.0,98,188,0.521,0.516,41,62,0.6609999999999999,35,78,113,11,9,59,33,108,237
