,Predicted,Real
Alex Abrines,SG,SG
Steven Adams,C,C
Arron Afflalo,C,SG
LaMarcus Aldridge,PF,PF
Lavoy Allen,C,PF
Tony Allen,SG,SG
Al-Farouq Aminu,SF,SF
Justin Anderson,SF,SF
Justin Anderson,C,SF
Kyle Anderson,SF,SG
Ryan Anderson,SF,PF
Giannis Antetokounmpo,C,SF
Carmelo Anthony,PF,SF
Trevor Ariza,SF,SF
D.J. Augustin,SG,PG
Luke Babbitt,SF,SF
Ron Baker,SG,SG
Leandro Barbosa,SG,SG
J.J. Barea,PG,PG
Harrison Barnes,SF,PF
Matt Barnes,SF,SF
Matt Barnes,PF,SF
Will Barton,SG,SG
Nicolas Batum,SF,SG
Aron Baynes,C,C
Kent Bazemore,SG,SF
Bradley Beal,SG,SG
Michael Beasley,SF,PF
Marco Belinelli,SG,SG
Davis Bertans,SG,PF
Patrick Beverley,PG,SG
Bismack Biyombo,C,C
Nemanja Bjelica,PF,PF
Tarik Black,C,C
Eric Bledsoe,PG,PG
Bojan Bogdanovic,SG,SF
Bojan Bogdanovic,SF,SF
Devin Booker,SG,SG
Trevor Booker,PF,PF
Avery Bradley,SF,SG
Corey Brewer,SF,SF
Corey Brewer,SG,SF
Malcolm Brogdon,PG,SG
Aaron Brooks,PG,PG
Jaylen Brown,SF,SF
Jimmy Butler,SG,SF
Kentavious Caldwell-Pope,SG,SG
Clint Capela,C,C
DeMarre Carroll,SF,SF
Vince Carter,SF,SF
Michael Carter-Williams,C,PG
Willie Cauley-Stein,PF,C
Tyson Chandler,C,C
Wilson Chandler,PF,SF
Marquese Chriss,SF,PF
Semaj Christon,PG,PG
Ian Clark,SG,SG
Jordan Clarkson,SG,SG
Darren Collison,PG,PG
Mike Conley,SG,PG
DeMarcus Cousins,C,C
DeMarcus Cousins,C,C
Robert Covington,SF,SF
Allen Crabbe,SG,SG
Jamal Crawford,SG,SG
Jae Crowder,SF,SF
Dante Cunningham,SF,SF
Seth Curry,SF,PG
Stephen Curry,PG,PG
Troy Daniels,SG,SG
Anthony Davis,C,C
Ed Davis,C,PF
Dewayne Dedmon,C,C
Sam Dekker,SF,SF
Malcolm Delaney,PG,PG
Matthew Dellavedova,PG,PG
Luol Deng,SF,SF
DeMar DeRozan,SF,SG
Boris Diaw,PF,PF
Gorgui Dieng,SF,PF
Spencer Dinwiddie,SG,PG
Goran Dragic,PG,PG
Andre Drummond,C,C
Jared Dudley,PF,PF
Mike Dunleavy,SF,SF
Kris Dunn,PG,PG
Kevin Durant,SF,SF
Wayne Ellington,C,SG
Monta Ellis,PG,SG
Joel Embiid,C,C
James Ennis,PF,SF
Tyreke Evans,SG,SF
Dante Exum,SG,PG
Kenneth Faried,PF,PF
Derrick Favors,PF,PF
Cristiano Felicio,C,C
Raymond Felton,SG,PG
Yogi Ferrell,PG,PG
Yogi Ferrell,PG,PG
Dorian Finney-Smith,SG,PF
Evan Fournier,SG,SG
Randy Foye,SG,SG
Tim Frazier,PG,PG
Channing Frye,PF,C
Danilo Gallinari,C,SF
Langston Galloway,SG,PG
Langston Galloway,C,PG
Marc Gasol,C,C
Pau Gasol,PF,C
Rudy Gay,C,SF
Paul George,SF,SF
Taj Gibson,C,PF
Taj Gibson,C,PF
Manu Ginobili,PG,SG
Rudy Gobert,C,C
Aaron Gordon,SF,SF
Eric Gordon,SG,SG
Marcin Gortat,C,C
Jerami Grant,PF,SF
Jerami Grant,SF,SF
Jerian Grant,C,PG
Danny Green,SG,SG
Draymond Green,C,PF
JaMychal Green,SF,PF
Jeff Green,SG,PF
Blake Griffin,PF,PF
Justin Hamilton,PF,C
Tim Hardaway,SG,SG
James Harden,SG,PG
Maurice Harkless,SF,SF
Montrezl Harrell,C,C
Devin Harris,PG,PG
Gary Harris,SF,SG
Joe Harris,SF,SG
Tobias Harris,C,PF
Andrew Harrison,SF,PG
Spencer Hawes,PF,PF
Gordon Hayward,C,SF
Gerald Henderson,SF,SG
John Henson,C,C
Juan Hernangomez,PF,PF
Willy Hernangomez,C,C
Mario Hezonja,SF,SF
Buddy Hield,SF,SG
Buddy Hield,SG,SG
Buddy Hield,C,SG
Nene Hilario,C,C
George Hill,PG,PG
Solomon Hill,SF,SF
Jrue Holiday,PG,PG
Justin Holiday,SG,SG
Rondae Hollis-Jefferson,SF,SF
Richaun Holmes,PF,C
Rodney Hood,SF,SG
Al Horford,C,C
Dwight Howard,C,C
Serge Ibaka,SF,PF
Serge Ibaka,PF,PF
Serge Ibaka,SF,PF
Andre Iguodala,SG,SF
Ersan Ilyasova,PF,PF
Ersan Ilyasova,PF,PF
Joe Ingles,PG,SF
Brandon Ingram,SF,SF
Kyrie Irving,PG,PG
Reggie Jackson,SG,PG
LeBron James,SF,SF
Al Jefferson,C,C
Richard Jefferson,SF,SF
Brandon Jennings,PG,PG
Brandon Jennings,PG,PG
Jonas Jerebko,PF,PF
Amir Johnson,PF,PF
James Johnson,PF,PF
Joe Johnson,SG,SF
Stanley Johnson,SG,SF
Tyler Johnson,SG,PG
Wesley Johnson,SF,SF
Nikola Jokic,PF,C
Terrence Jones,PF,PF
Terrence Jones,PF,PF
Tyus Jones,PG,PG
