,Predicted,Real
Alex Abrines,SG,SG
Quincy Acy,PF,PF
Quincy Acy,PF,PF
Steven Adams,C,C
Arron Afflalo,SG,SG
Alexis Ajinca,C,C
Cole Aldrich,C,C
LaMarcus Aldridge,PF,PF
Lavoy Allen,PF,PF
Tony Allen,SF,SG
Al-Farouq Aminu,PF,SF
Chris Andersen,C,C
Alan Anderson,SF,SF
Justin Anderson,SF,SF
Justin Anderson,SF,SF
Justin Anderson,SF,SF
Kyle Anderson,SF,SG
Ryan Anderson,SF,PF
Giannis Antetokounmpo,PF,SF
Carmelo Anthony,SF,SF
Joel Anthony,C,C
Trevor Ariza,SF,SF
Darrell Arthur,SF,PF
Omer Asik,C,C
D.J. Augustin,SG,PG
Luke Babbitt,SF,SF
Ron Baker,SG,SG
Wade Baldwin,PG,PG
Leandro Barbosa,SG,SG
J.J. Barea,PG,PG
Harrison Barnes,SG,PF
Matt Barnes,SF,SF
Matt Barnes,SF,SF
Matt Barnes,SF,SF
Will Barton,SG,SG
Brandon Bass,PF,PF
Nicolas Batum,SG,SG
Jerryd Bayless,PG,PG
Aron Baynes,C,C
Kent Bazemore,SG,SF
Bradley Beal,SG,SG
Malik Beasley,SG,SG
Michael Beasley,PF,PF
Marco Belinelli,SG,SG
DeAndre' Bembry,SF,SF
Dragan Bender,SF,PF
Anthony Bennett,PF,PF
Davis Bertans,SF,PF
Patrick Beverley,PG,SG
Bismack Biyombo,C,C
Nemanja Bjelica,PF,PF
Tarik Black,C,C
Eric Bledsoe,PG,PG
Bojan Bogdanovic,SG,SF
Bojan Bogdanovic,SG,SF
Bojan Bogdanovic,SG,SF
Andrew Bogut,C,C
Andrew Bogut,C,C
Devin Booker,SG,SG
Trevor Booker,PF,PF
Avery Bradley,SG,SG
Corey Brewer,SF,SF
Corey Brewer,SF,SF
Corey Brewer,SG,SF
Malcolm Brogdon,PG,SG
Aaron Brooks,PG,PG
Anthony Brown,SF,SF
Anthony Brown,SF,SF
Bobby Brown,PG,PG
Jaylen Brown,SF,SF
Nicolas Brussino,SF,SF
Reggie Bullock,SF,SF
Trey Burke,PG,PG
Alec Burks,SF,SG
Jimmy Butler,SG,SF
Jose Calderon,PG,PG
Jose Calderon,PG,PG
Jose Calderon,PG,PG
Kentavious Caldwell-Pope,SG,SG
Isaiah Canaan,SG,SG
Clint Capela,C,C
DeMarre Carroll,SF,SF
Vince Carter,SF,SF
Michael Carter-Williams,SG,PG
Omri Casspi,SF,SF
Omri Casspi,SF,SF
Omri Casspi,SF,SF
Willie Cauley-Stein,C,C
Tyson Chandler,C,C
Wilson Chandler,SF,SF
Marquese Chriss,PF,PF
Rakeem Christmas,C,PF
Semaj Christon,PG,PG
Ian Clark,SG,SG
Jordan Clarkson,SG,SG
Norris Cole,PG,PG
Darren Collison,PG,PG
Nick Collison,PF,PF
Mike Conley,PG,PG
Pat Connaughton,SG,SG
Quinn Cook,PG,PG
Quinn Cook,PG,PG
Quinn Cook,PG,PG
