,Predicted,Real
Alex Abrines,SG,SG
Quincy Acy,PF,PF
Quincy Acy,PF,PF
Steven Adams,C,C
Arron Afflalo,SG,SG
Alexis Ajinca,C,C
Cole Aldrich,C,C
LaMarcus Aldridge,PF,PF
Lavoy Allen,PF,PF
Tony Allen,SF,SG
Al-Farouq Aminu,PF,SF
Justin Anderson,SF,SF
Justin Anderson,SF,SF
Justin Anderson,SF,SF
Kyle Anderson,SF,SG
Ryan Anderson,SF,PF
Giannis Antetokounmpo,PF,SF
Carmelo Anthony,SF,SF
Trevor Ariza,SF,SF
Darrell Arthur,PF,PF
D.J. Augustin,SG,PG
Luke Babbitt,SF,SF
Ron Baker,PG,SG
Leandro Barbosa,SG,SG
J.J. Barea,PG,PG
Harrison Barnes,SG,PF
Matt Barnes,SF,SF
Matt Barnes,SF,SF
Will Barton,SG,SG
Brandon Bass,PF,PF
Nicolas Batum,SG,SG
Aron Baynes,C,C
Kent Bazemore,SG,SF
Bradley Beal,SG,SG
Michael Beasley,PF,PF
Marco Belinelli,SG,SG
Dragan Bender,PF,PF
Davis Bertans,SF,PF
Patrick Beverley,PG,SG
Bismack Biyombo,C,C
Nemanja Bjelica,PF,PF
Tarik Black,C,C
Eric Bledsoe,PG,PG
Bojan Bogdanovic,SF,SF
Bojan Bogdanovic,SF,SF
Bojan Bogdanovic,SF,SF
Andrew Bogut,C,C
Andrew Bogut,C,C
Devin Booker,SG,SG
Trevor Booker,PF,PF
Avery Bradley,SF,SG
Corey Brewer,SF,SF
Corey Brewer,SF,SF
Malcolm Brogdon,PG,SG
Aaron Brooks,PG,PG
Jaylen Brown,SF,SF
Nicolas Brussino,SF,SF
Trey Burke,PG,PG
Alec Burks,SF,SG
Jimmy Butler,SG,SF
Jose Calderon,PG,PG
Kentavious Caldwell-Pope,SG,SG
Isaiah Canaan,SG,SG
Clint Capela,C,C
DeMarre Carroll,SF,SF
Vince Carter,SF,SF
Michael Carter-Williams,SG,PG
Omri Casspi,SF,SF
Willie Cauley-Stein,C,C
Tyson Chandler,C,C
Wilson Chandler,SF,SF
Marquese Chriss,PF,PF
Semaj Christon,PG,PG
Ian Clark,SG,SG
Jordan Clarkson,SG,SG
Darren Collison,PG,PG
Mike Conley,PG,PG
DeMarcus Cousins,C,C
DeMarcus Cousins,PF,C
DeMarcus Cousins,PF,C
Robert Covington,SF,SF
Allen Crabbe,SG,SG
Jamal Crawford,SG,SG
Jae Crowder,SF,SF
Dante Cunningham,SF,SF
Seth Curry,SG,PG
Stephen Curry,PG,PG
Troy Daniels,SG,SG
Anthony Davis,PF,C
Ed Davis,C,PF
Dewayne Dedmon,C,C
Sam Dekker,SF,SF
Malcolm Delaney,PG,PG
Matthew Dellavedova,PG,PG
Luol Deng,SF,SF
DeMar DeRozan,SG,SG
Boris Diaw,SG,PF
Gorgui Dieng,C,PF
Spencer Dinwiddie,SG,PG
Goran Dragic,PG,PG
Andre Drummond,C,C
Jared Dudley,SF,PF
