,Predicted,Real
Alex Abrines,SG,SG
Quincy Acy,PF,PF
Quincy Acy,PF,PF
Steven Adams,C,C
Arron Afflalo,SG,SG
Alexis Ajinca,C,C
Cole Aldrich,C,C
LaMarcus Aldridge,PF,PF
Lavoy Allen,C,PF
Tony Allen,SG,SG
Al-Farouq Aminu,SF,SF
Chris Andersen,C,C
Alan Anderson,SG,SF
Justin Anderson,PF,SF
Justin Anderson,PF,SF
Justin Anderson,SF,SF
Kyle Anderson,SF,SG
Ryan Anderson,PF,PF
Giannis Antetokounmpo,PF,SF
Carmelo Anthony,PF,SF
Joel Anthony,C,C
Trevor Ariza,SF,SF
Darrell Arthur,PF,PF
Omer Asik,C,C
D.J. Augustin,PG,PG
Luke Babbitt,SF,SF
Ron Baker,PG,SG
Wade Baldwin,PG,PG
Leandro Barbosa,SG,SG
J.J. Barea,PG,PG
Harrison Barnes,SF,PF
Matt Barnes,SF,SF
Matt Barnes,PF,SF
Matt Barnes,PF,SF
Will Barton,SF,SG
Brandon Bass,PF,PF
Nicolas Batum,SF,SG
Jerryd Bayless,PG,PG
Aron Baynes,C,C
Kent Bazemore,SG,SF
Bradley Beal,SG,SG
Malik Beasley,SG,SG
Michael Beasley,PF,PF
Marco Belinelli,SG,SG
DeAndre' Bembry,SG,SF
Dragan Bender,C,PF
Anthony Bennett,PF,PF
Davis Bertans,SG,PF
Patrick Beverley,PG,SG
Bismack Biyombo,C,C
Nemanja Bjelica,PF,PF
Tarik Black,PF,C
Eric Bledsoe,PG,PG
Bojan Bogdanovic,SF,SF
Bojan Bogdanovic,SF,SF
Bojan Bogdanovic,SG,SF
Andrew Bogut,C,C
Andrew Bogut,C,C
Devin Booker,SG,SG
Trevor Booker,PF,PF
Avery Bradley,SF,SG
Corey Brewer,SF,SF
Corey Brewer,SF,SF
Corey Brewer,SF,SF
Malcolm Brogdon,PG,SG
Aaron Brooks,PG,PG
Anthony Brown,PF,SF
Anthony Brown,PF,SF
Bobby Brown,PG,PG
Jaylen Brown,SF,SF
Nicolas Brussino,SG,SF
Reggie Bullock,SF,SF
Trey Burke,PG,PG
Alec Burks,SF,SG
Jimmy Butler,SG,SF
Jose Calderon,PG,PG
Jose Calderon,PG,PG
Jose Calderon,PG,PG
Kentavious Caldwell-Pope,SG,SG
Isaiah Canaan,SG,SG
Clint Capela,PF,C
DeMarre Carroll,SF,SF
Vince Carter,SG,SF
Michael Carter-Williams,PG,PG
Omri Casspi,SF,SF
Omri Casspi,PF,SF
Omri Casspi,SF,SF
Willie Cauley-Stein,C,C
Tyson Chandler,C,C
Wilson Chandler,PF,SF
Marquese Chriss,PF,PF
Rakeem Christmas,PF,PF
Semaj Christon,PG,PG
Ian Clark,SG,SG
Jordan Clarkson,SG,SG
Norris Cole,PG,PG
Darren Collison,PG,PG
Nick Collison,C,PF
Mike Conley,PG,PG
Pat Connaughton,SF,SG
Quinn Cook,PG,PG
Quinn Cook,SG,PG
Quinn Cook,PG,PG
