,Predicted,Real
Tariq Abdul-Wahad,SF,SG
Tariq Abdul-Wahad,SF,SG
Tariq Abdul-Wahad,SF,SG
Shareef Abdur-Rahim,PF,SF
Cory Alexander,PG,PG
Ray Allen,SG,SG
Rafer Alston,PG,PG
John Amaechi,PF,C
Derek Anderson,SG,SG
Kenny Anderson,PG,PG
Nick Anderson,SF,SG
Shandon Anderson,SF,SF
Chris Anstey,C,C
Greg Anthony,PG,PG
B.J. Armstrong,PG,PG
Darrell Armstrong,PG,PG
Chucky Atkins,PG,PG
Stacey Augmon,SF,SG
Isaac Austin,C,C
Anthony Avent,PF,PF
William Avery,PG,PG
Toby Bailey,SF,SG
Vin Baker,PF,C
Charles Barkley,PF,PF
Dana Barros,PG,PG
Brent Barry,SG,SG
Drew Barry,PG,PG
Drew Barry,PG,PG
Drew Barry,PG,PG
Jon Barry,SG,SG
Tony Battie,C,C
Jonathan Bender,SF,SF
Corey Benjamin,SG,SG
Travis Best,PG,PG
Mike Bibby,PG,PG
Chauncey Billups,PG,SG
Mookie Blaylock,PG,PG
Corie Blount,PF,PF
Muggsy Bogues,PG,PG
Etdrick Bohannon,C,PF
Etdrick Bohannon,C,PF
Calvin Booth,C,C
Lazaro Borrell,PF,SF
Cal Bowdler,PF,SF
Bruce Bowen,SF,SF
Bruce Bowen,SF,SF
Bruce Bowen,SF,SF
Ryan Bowen,SF,SF
Earl Boykins,PG,PG
Earl Boykins,PG,PG
Shawn Bradley,C,C
Elton Brand,PF,PF
Terrell Brandon,PG,PG
Chucky Brown,SF,PF
Chucky Brown,SF,PF
Chucky Brown,SF,PF
Dee Brown,PG,PG
P.J. Brown,C,PF
Randy Brown,PG,PG
Rick Brunson,PG,PG
Kobe Bryant,SF,SG
Mark Bryant,C,PF
Greg Buckner,SF,SG
Jud Buechler,SF,SF
Rodney Buford,SG,SG
Matt Bullard,SF,PF
Scott Burrell,SF,SF
Jason Caffey,PF,PF
Michael Cage,C,C
Marcus Camby,C,C
Elden Campbell,C,C
Antoine Carr,PF,SF
Chris Carr,PF,SG
Chris Carr,SG,SF
Anthony Carter,PG,PG
Vince Carter,SG,SF
Sam Cassell,PG,PG
Kelvin Cato,C,C
Duane Causwell,C,C
Cedric Ceballos,SF,SF
John Celestand,PG,PG
Rex Chapman,SG,SG
Calbert Cheaney,SF,SG
Pete Chilcutt,PF,PF
Pete Chilcutt,PF,PF
Pete Chilcutt,PF,PF
Chris Childs,PG,PG
Doug Christie,SG,SG
Keon Clark,C,C
Keith Closs,C,C
Derrick Coleman,PF,PF
Bimbo Coles,PG,PG
Tyrone Corbin,SF,SF
Chris Crawford,SF,PF
Austin Croshere,PF,PF
John Crotty,PG,PG
Terry Cummings,PF,PF
Vonteego Cummings,PG,PG
Bill Curley,PF,SF
Dell Curry,SG,SG
Michael Curry,SG,SG
Erick Dampier,C,C
Antonio Daniels,PG,SG
Kornel David,PF,SF
Kornel David,PF,SF
Antonio Davis,C,C
Baron Davis,PG,PG
Dale Davis,C,C
Emanual Davis,SG,PG
Hubert Davis,SG,PG
Mark Davis,SF,SF
Ricky Davis,SG,SG
Todd Day,SF,SG
Andrew DeClercq,C,C
Vinny Del,PG,PG
Tony Delk,SG,PG
Derrick Dial,SF,SG
Michael Dickerson,SG,SG
Vlade Divac,C,C
Michael Doleac,C,C
Sherman Douglas,PG,PG
Bryce Drew,PG,PG
Chris Dudley,C,C
Tim Duncan,C,PF
Howard Eisley,PG,PG
Obinna Ekezie,PF,PF
Mario Elie,SG,SF
Sean Elliott,SF,SF
Dale Ellis,SF,SG
Dale Ellis,SF,SG
Dale Ellis,SF,SG
LaPhonso Ellis,PF,PF
Pervis Ellison,C,C
Evan Eschmeyer,C,C
Patrick Ewing,C,C
Tony Farmer,PF,PF
Jamie Feick,C,C
Danny Ferry,PF,PF
Michael Finley,SF,SF
Derek Fisher,PG,PG
Danny Fortson,PF,PF
Greg Foster,C,PF
Jeff Foster,C,C
Rick Fox,SF,SF
Adonal Foyle,C,C
Steve Francis,PG,PG
Todd Fuller,PF,C
Lawrence Funderburke,PF,PF
Kevin Garnett,PF,PF
Dean Garrett,C,C
Pat Garrity,PF,SF
Chris Gatling,PF,PF
Chris Gatling,PF,PF
Chris Gatling,PF,PF
Matt Geiger,C,C
Devean George,PF,SF
Kendall Gill,SG,SF
Armen Gilliam,PF,PF
Dion Glover,SG,SG
Brian Grant,PF,PF
Horace Grant,PF,PF
Devin Gray,C,SF
A.C. Green,PF,PF
Adrian Griffin,SG,SG
Tom Gugliotta,PF,PF
Darvin Ham,PF,SF
Richard Hamilton,SG,SG
Thomas Hamilton,C,C
Tom Hammonds,PF,PF
Anfernee Hardaway,SF,SG
Tim Hardaway,PG,PG
Ron Harper,SG,PG
Al Harrington,PF,PF
Othella Harrington,PF,PF
Lucious Harris,SG,SG
Antonio Harvey,C,PF
Hersey Hawkins,SG,SG
Alan Henderson,PF,PF
Cedric Henderson,SF,SF
Mark Hendrickson,PF,PF
Chris Herren,PG,PG
Grant Hill,SF,SF
Tyrone Hill,PF,PF
Fred Hoiberg,SG,SG
Jeff Hornacek,SG,SG
Robert Horry,PF,PF
